127.0.0.1 - - [21/Sep/2022:20:23:32 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:23:32 +0900] "GET /portfolio/ HTTP/1.1" 200 23026
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:23:32 +0900] "GET /portfolio/assets/css/main.css HTTP/1.1" 200 54652
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:23:32 +0900] "GET /portfolio/images/avatar.jpg HTTP/1.1" 200 6558
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:23:32 +0900] "GET /portfolio/assets/js/browser.min.js HTTP/1.1" 200 2051
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:23:32 +0900] "GET /portfolio/assets/js/jquery.scrolly.min.js HTTP/1.1" 200 831
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:23:32 +0900] "GET /portfolio/assets/js/util.js HTTP/1.1" 200 12433
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:23:32 +0900] "GET /portfolio/assets/js/breakpoints.min.js HTTP/1.1" 200 2439
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:23:32 +0900] "GET /portfolio/assets/js/jquery.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:23:32 +0900] "GET /portfolio/assets/js/jquery.scrollex.min.js HTTP/1.1" 200 2257
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:23:32 +0900] "GET /portfolio/assets/js/main.js HTTP/1.1" 200 3501
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:23:32 +0900] "GET /portfolio/assets/css/fontawesome-all.min.css HTTP/1.1" 200 59401
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:23:32 +0900] "GET /portfolio/images/banner.jpg HTTP/1.1" 200 62885
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:23:32 +0900] "GET /portfolio/images/pic01.jpg HTTP/1.1" 200 19013
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:23:32 +0900] "GET /portfolio/images/pic02.jpg HTTP/1.1" 200 18665
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:23:32 +0900] "GET /portfolio/images/pic03.jpg HTTP/1.1" 200 18892
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:23:32 +0900] "GET /portfolio/assets/webfonts/fa-brands-400.woff2 HTTP/1.1" 200 76736
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:23:32 +0900] "GET /portfolio/assets/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78268
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:23:33 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:24:48 +0900] "GET /portfolio/ HTTP/1.1" 200 23004
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:24:48 +0900] "GET /portfolio/assets/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:24:48 +0900] "GET /portfolio/images/avatar.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:24:48 +0900] "GET /portfolio/assets/js/jquery.scrollex.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:24:48 +0900] "GET /portfolio/assets/js/jquery.scrolly.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:24:48 +0900] "GET /portfolio/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:24:48 +0900] "GET /portfolio/assets/js/browser.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:24:48 +0900] "GET /portfolio/assets/js/breakpoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:24:48 +0900] "GET /portfolio/assets/css/fontawesome-all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:24:48 +0900] "GET /portfolio/images/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:24:48 +0900] "GET /portfolio/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:24:48 +0900] "GET /portfolio/assets/js/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:24:48 +0900] "GET /portfolio/images/pic01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:24:48 +0900] "GET /portfolio/images/pic02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:24:48 +0900] "GET /portfolio/images/pic03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:24:48 +0900] "GET /portfolio/assets/webfonts/fa-brands-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:24:48 +0900] "GET /portfolio/assets/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:25:26 +0900] "GET /portfolio/ HTTP/1.1" 200 23003
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:25:26 +0900] "GET /portfolio/assets/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:25:26 +0900] "GET /portfolio/images/avatar.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:25:26 +0900] "GET /portfolio/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:25:26 +0900] "GET /portfolio/assets/js/browser.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:25:26 +0900] "GET /portfolio/assets/js/jquery.scrollex.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:25:26 +0900] "GET /portfolio/assets/js/jquery.scrolly.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:25:26 +0900] "GET /portfolio/assets/js/breakpoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:25:26 +0900] "GET /portfolio/assets/js/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:25:26 +0900] "GET /portfolio/images/pic01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:25:26 +0900] "GET /portfolio/assets/css/fontawesome-all.min.css HTTP/1.1" 304 -
